Title_id,Age,IMDb,Rotten_tomatoes
1142,,6.4,
1143,,7.4,
1144,all,6.7,
1145,all,7.4,
1146,,7.2,
1147,7+,7.6,
1148,16+,7.4,
1149,,8.8,
1150,,8.0,
1151,16+,7.7,
1152,7+,8.3,
1153,,5.3,
1154,7+,7.1,
1155,all,8.2,
1156,,7.6,
1157,,6.7,
1158,16+,6.9,
1159,18+,5.2,81%
1160,,7.3,
1161,7+,6.9,
1162,16+,7.5,
1163,7+,8.7,
1164,,7.5,
1165,,7.8,
1166,all,6.7,
1167,,8.1,
1168,18+,6.7,
1169,all,6.0,
1170,,6.2,
1171,,8.3,
1172,7+,6.8,
1173,18+,6.2,
1174,,8.2,
1175,all,8.0,
1176,,8.0,
1177,18+,8.0,
1178,all,8.1,
1179,16+,7.3,
1180,all,7.8,
1181,all,6.5,
1182,7+,5.5,
1183,,6.2,
1184,16+,6.8,
1185,all,6.7,
1186,,6.5,
1187,,7.0,
1188,,7.3,
1189,18+,5.0,40%
1190,,7.7,
1191,16+,6.9,
1192,,6.7,
1193,all,7.9,
1194,,4.4,
1195,,,
1196,,8.5,
1197,18+,7.9,
1198,all,7.6,
1199,,6.6,
1200,,6.8,
1201,all,7.9,
1202,all,6.8,
1203,all,4.9,
1204,all,8.1,
1205,7+,6.8,
1206,all,8.0,
1207,,6.5,
1208,7+,4.8,
1209,,6.3,
1210,,8.1,
1211,,6.3,
1212,16+,6.6,
1213,all,7.1,
1214,,7.5,
1215,18+,5.7,100%
1216,18+,8.0,
1217,all,7.6,
1218,,5.5,
1219,18+,6.6,
1220,16+,6.4,
1221,18+,6.5,
1222,,7.0,
1223,16+,7.1,
1224,7+,7.2,
1225,,7.6,
1226,7+,7.3,
1227,,6.9,
1228,7+,7.3,
1229,,7.4,
1230,,8.0,
1231,18+,5.6,
1232,,7.4,
1233,,7.1,
1234,,8.9,
1235,,6.0,
1236,,7.0,
1237,,5.1,
1238,,7.7,
1239,7+,8.5,
1240,7+,5.9,
1241,,6.7,
1242,,7.5,
1243,,8.0,
1244,,7.7,
1245,all,5.6,
1246,,8.7,
1247,,4.1,
1248,all,6.2,
1249,,7.3,
1250,18+,5.4,
1251,7+,7.3,
1252,all,7.9,
1253,18+,6.8,
1254,,6.0,
1255,,6.5,
